Site,Date,EnteroCount,FourDayRainTotal,SampleCount,EnteroCount1
Hudson above Mohawk River,10/16/2010,>2420,1.3,35,2420
Hudson above Mohawk River,7/31/2009,>2420,1.9,35,2420
Mohawk River at Waterford,7/21/2012,>2420,0.2,35,2420
Mohawk River at Waterford,9/14/2010,>2420,0,35,2420
Hudson River above Troy Lock,7/31/2009,>2420,1.9,37,2420
Congress St. Bridge- Troy,7/31/2009,>2420,1.9,38,2420
Albany Rowing Dock,7/31/2009,>2420,1.9,36,2420
Albany Rowing Dock,10/16/2011,>2420,1.5,36,2420
Dunn Memorial Bridge- Albany,10/16/2011,>2420,1.5,38,2420
Dunn Memorial Bridge- Albany,7/31/2009,>2420,1.9,38,2420
Island Creek/Normans Kill,10/16/2011,>2420,1.5,35,2420
Island Creek/Normans Kill,10/16/2010,>2420,1.3,35,2420
Island Creek/Normans Kill,7/31/2009,>2420,1.9,35,2420
Bethlehem Launch Ramp,6/4/2013,>2420,1.2,36,2420
Athens,7/31/2009,>2420,1.9,35,2420
Hudson Landing Ramp,7/31/2009,>2420,1.9,37,2420
Catskill Creek- First Bridge,8/23/2010,>2420,0.6,38,2420
Catskill Launch Ramp,7/31/2009,>2420,1.9,37,2420
Catskill Creek- East End,8/24/2009,>2420,2.8,42,2420
Catskill Creek- East End,8/23/2010,>2420,0.6,42,2420
Inbocht Bay,7/31/2009,>2420,1.9,36,2420
Esopus Creek West,8/23/2010,>2420,3,42,2420
Esopus Creek West,8/23/2009,>2420,0.6,42,2420
Esopus Creek Entrance,9/19/2012,>2420,2.5,43,2420
Esopus Creek Entrance,8/23/2010,>2420,3,43,2420
Esopus Creek Entrance,8/23/2009,>2420,0.6,43,2420
Tivoli Landing,7/31/2009,>2420,0.3,37,2420
Kingston STP Outfall,8/20/2010,>2420,0,40,2420
Kingston STP Outfall,6/2/2013,>2420,0,40,2420
Kingston STP Outfall,7/30/2009,>2420,0.5,40,2420
Rondout- Kingston Public Dock,7/30/2009,>2420,0.5,39,2420
Rondout- Kingston Public Dock,8/23/2009,>2420,0.6,39,2420
Rondout- Eddyville Anchorage,7/30/2009,>2420,0.5,45,2420
Rondout- Eddyville Anchorage,8/23/2009,>2420,0.6,45,2420
Rondout- Eddyville Anchorage,5/19/2011,>2420,1.8,45,2420
Norrie Point Yacht Basin,5/18/2011,>2420,2.1,36,2420
Marlboro Landing,10/15/2010,>2420,1.5,35,2420
West Point STP Outfall,8/15/2012,>2420,0.4,36,2420
Fort Montgomery,8/15/2012,>2420,0.4,36,2420
Upper Sparkill Creek,9/29/2009,>2420,1.2,165,2420
Upper Sparkill Creek,9/20/2010,>2420,0,165,2420
Upper Sparkill Creek,4/26/2010,>2420,1.4,165,2420
Upper Sparkill Creek,5/3/2010,>2420,1.2,165,2420
Upper Sparkill Creek,6/8/2010,>2420,0.3,165,2420
Upper Sparkill Creek,7/26/2010,>2420,0.8,165,2420
Upper Sparkill Creek,8/24/2010,>2420,2.3,165,2420
Upper Sparkill Creek,8/22/2009,>2420,2.6,165,2420
Upper Sparkill Creek,6/4/2009,>2420,0.8,165,2420
Upper Sparkill Creek,7/14/2012,>2420,0,165,2420
Upper Sparkill Creek,10/6/2012,>2420,0.8,165,2420
Upper Sparkill Creek,9/8/2012,>2420,0.8,165,2420
Upper Sparkill Creek,8/4/2012,>2420,0.1,165,2420
Upper Sparkill Creek,6/26/2012,>2420,0.7,165,2420
Upper Sparkill Creek,6/2/2012,>2420,0.7,165,2420
Upper Sparkill Creek,9/27/2010,>2420,0.2,165,2420
Upper Sparkill Creek,8/29/2009,>2420,1.3,165,2420
Upper Sparkill Creek,6/14/2011,>2420,0.5,165,2420
Upper Sparkill Creek,3/7/2011,>2420,2.3,165,2420
Upper Sparkill Creek,12/13/2010,>2420,1.2,165,2420
Kingsland Pt. Park- Pocantico River,5/17/2011,>24196,2,42,24196
Tarrytown Marina,10/13/2010,>24196,0.3,27,24196
Tarrytown Marina,5/17/2011,>24196,2,27,24196
Orangetown STP Outfall,11/8/2012,>24196,0.1,57,24196
Upper Sparkill Creek,8/6/2008,>24196,1.6,165,24196
Upper Sparkill Creek,9/6/2008,>24196,4.8,165,24196
Saw Mill River,5/17/2011,>24196,1.8,50,24196
Newtown Creek- Dutch Kills,10/12/2010,>24196,1.2,57,24196
Newtown Creek- Dutch Kills,6/5/2009,>24196,2,57,24196
Newtown Creek- Metropolitan Ave. Bridge,7/14/2008,>24196,0.5,57,24196
Newtown Creek- Metropolitan Ave. Bridge,7/23/2008,>24196,1,57,24196
Newtown Creek- Metropolitan Ave. Bridge,9/26/2008,>24196,2.4,57,24196
Newtown Creek- Metropolitan Ave. Bridge,6/18/2009,>24196,2.8,57,24196
Newtown Creek- Metropolitan Ave. Bridge,10/29/2009,>24196,1.9,57,24196
Newtown Creek- Metropolitan Ave. Bridge,10/12/2010,>24196,1.2,57,24196
Gowanus Canal,11/8/2012,>24196,1.2,37,24196
Gowanus Canal,5/15/2012,>24196,0.5,37,24196
Gowanus Canal,5/16/2011,>24196,1.1,37,24196
Gowanus Canal,10/12/2010,>24196,1.2,37,24196
Gowanus Canal,5/16/2008,>24196,1,37,24196
Annesville Creek,8/21/2008,<10,0,38,10
Annesville Creek,9/23/2008,<10,0,38,10
Annesville Creek,8/21/2009,<10,0,38,10
Annesville Creek,9/15/2009,<10,0,38,10
Annesville Creek,5/22/2010,<10,0,38,10
Annesville Creek,8/18/2010,<10,0.5,38,10
Annesville Creek,7/18/2011,<10,0,38,10
Annesville Creek,10/11/2012,<10,0.1,38,10
Annesville Creek,9/19/2013,<10,0,38,10
Annesville Creek,7/18/2013,<10,0,38,10
Peekskill Riverfront Green Park,8/21/2008,<10,0,42,10
Peekskill Riverfront Green Park,7/29/2009,<10,0.8,42,10
Peekskill Riverfront Green Park,8/21/2009,<10,0,42,10
Peekskill Riverfront Green Park,9/15/2009,<10,0,42,10
Peekskill Riverfront Green Park,5/30/2013,<10,0.4,42,10
Peekskill Riverfront Green Park,5/22/2010,<10,0,42,10
