StateID,StateName,DRG,AverageCost
AK,Alaska,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,68006
DC,District of Columbia,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,66438
AK,Alaska,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,61301
AK,Alaska,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,57239
HI,Hawaii,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,56483
NY,New York,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,56466
AK,Alaska,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,54385
CA,California,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,53733
VT,Vermont,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,52761
DC,District of Columbia,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,52491
NY,New York,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,51966
CA,California,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,51125
OR,Oregon,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,50432
MN,Minnesota,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,49989
NY,New York,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,49828
NH,New Hampshire,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,49774
VT,Vermont,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,49678
DC,District of Columbia,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,49545
WY,Wyoming,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,49466
CA,California,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,49380
WA,Washington,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,49329
CA,California,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,49314
CT,Connecticut,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,49204
WY,Wyoming,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,49122
MD,Maryland,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,48605
MA,Massachusetts,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,48422
